author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,leaning,keyword,scores,compound,pos,neg
Reid Wilson,Biden defeats Trump to win presidency | TheHill,"Joe Biden has won election as the nation’s 46th president, defeating Donald Trump and ending hi...",http://thehill.com/homenews/campaign/524222-biden-defeats-trump-to-win-presidency,https://thehill.com/sites/default/files/bidenjoe1_10282020_gettyimages.jpg,2020-11-07T16:33:07Z,"The Hill 1625 K Street, NW Suite 900 Washington DC 20006 | 202-628-8500 tel | 202-628-8503 fax
The contents of this site are ©2020 Capitol Hill Publishing Corp., a subsidiary of News Communications,… [+4 chars]",the-hill,The Hill,moderate,biden,"{'neg': 0.207, 'neu': 0.45, 'pos': 0.342, 'compound': 0.3612}",0.3612,0.342,0.207
Fox News,"Michelle Obama congratulates Biden and Harris, adds dig at Trump","Democrats have ""a lot of work to do"" to ""connect"" with Trump voters, Michelle Obama said.",https://www.foxnews.com/politics/michelle-obama-biden-harris-president-congratulations-message,https://static.foxnews.com/foxnews.com/content/uploads/2020/08/Michelle-Obama.jpg,2020-11-08T02:37:23.543432Z,"Former first lady Michelle Obama congratulated her husband's former running mate, President-elect Joe Biden, and Vice President-elect Kamala Harris after Biden was projected to win the presidency Sat… [+2410 chars]",fox-news,Fox News,mod_right,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
Fox News,"Biden preaches unity, promises to address coronavirus crisis in first speech as president-elect","President-elect Biden and Vice President-elect Harris will address supporters Saturday evening in Wilmington, Del., after earlier today claiming victory in the presidential election after the Fox News Decision Desk projected that they will defeat President Tr…",https://www.foxnews.com/politics/biden-harris-victory-speech-46th-president-united-states,https://static.foxnews.com/foxnews.com/content/uploads/2020/11/AP20308858160529-e1604775103187.jpg,2020-11-08T02:22:20.2564005Z,"President-elect Joe Biden on Saturday night claimed ""a clear victory"" and preached unity as he addressed supporters in Wilmington, Del., after earlier in the day taking a projected victory in a conte… [+6901 chars]",fox-news,Fox News,mod_right,biden,"{'neg': 0.232, 'neu': 0.621, 'pos': 0.147, 'compound': -0.3612}",-0.3612,0.147,0.232
Fox News,CNN doesn't sound alarm of COVID 'superspreaders' as thousands celebrate Biden win in the streets,"CNN has become the go-to network over the past several months for its alarmist coverage of the coronavirus outbreak, but the anti-Trump network sang a different tune on Saturday as thousands gather in cities across the country to celebrate Joe Biden's electio…",https://www.foxnews.com/media/2020-election-biden-superspreaders-covid-street-parties,https://static.foxnews.com/foxnews.com/content/uploads/2020/11/Election-Reactions-NYC-DC-AP-THUMB-3.jpg,2020-11-07T22:52:24.6712226Z,"Over the past eight months, CNN has become the go-to network for alarmist coverage of the coronavirus outbreak, but the anti-Trump channel sang a different tune on Saturday as thousands gathered in c… [+2912 chars]",fox-news,Fox News,mod_right,biden,"{'neg': 0.0, 'neu': 0.557, 'pos': 0.443, 'compound': 0.8603}",0.8603,0.443,0.0
Valerie Richardson,Conservatives dispute Biden victory: 'The media does not get to call the election',Conservatives pushed back Saturday against the decision by media outlets to declare former Vice President Joseph R. Biden the winner of the 2020 presidential election.,https://www.washingtontimes.com/news/2020/nov/7/conservatives-dispute-biden-victory-media-does-not/,https://twt-thumbs.washtimes.com/media/image/2020/09/24/AP19281803515602_c0-228-5472-3420_s1200x700.jpg?f89739662670662341638fe34403095f75f3e118,2020-11-07T21:47:57Z,"Conservatives pushed back Saturday against the decision by media outlets to declare former Vice President Joseph R. Biden the winner of the 2020 presidential election.
“The media do not get to deter… [+3021 chars]",the-washington-times,The Washington Times,mod_right,biden,"{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.4019}",-0.4019,0.0,0.184
Fox News,Trump accuses Biden of 'rushing to falsely pose as winner',"Moments after Joe Biden was projected to be the victor in the 2020 election, President Trump accused the Democrat of ""rushing to falsely pose as the winner"" and vowed to go forward with pending litigation.",https://www.foxnews.com/politics/trump-accuses-president-elect-biden-of-rushing-to-falsely-pose-as-the-winner,https://static.foxnews.com/foxnews.com/content/uploads/2020/11/AP20311002277663.jpg,2020-11-07T21:37:22.8418728Z,"Moments after Joe Biden was projected to be the victor in the 2020 election, President Trump accused the Democrat of ""rushing to falsely pose as the winner"" and vowed to go forward with lawsuits cont… [+1644 chars]",fox-news,Fox News,mod_right,biden,"{'neg': 0.169, 'neu': 0.563, 'pos': 0.268, 'compound': 0.34}",0.34,0.268,0.169
David Sherfinski,Joe Biden: 'It's time for our better angels to prevail',"Presumptive President-elect Joseph R. Biden said Saturday evening that he plans to be a president for all Americans and that he'll hit the ground running to try to ""heal"" the country as he claimed a mandate from the American people to govern cooperatively and…",https://www.washingtontimes.com/news/2020/nov/7/biden-speech-better-angels-nature-prevail/,https://twt-thumbs.washtimes.com/media/image/2020/11/07/aptopix_election_2020_biden_15398_c0-0-3808-2221_s1200x700.jpg?de4f79afff512b047b0e5c7f28b75b328aa49e8f,2020-11-07T21:13:01Z,Presumptive President-elect Joseph R. Biden said Saturday evening that he plans to be a president for all Americans and that he’ll hit the ground running to try to “heal” the country as he claimed a … [+5574 chars],the-washington-times,The Washington Times,mod_right,biden,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",0.4404,0.244,0.0
Lauren Toms,World leaders react to Biden victory,Congratulatory messages are pouring in Saturday from around the world after major news organizations called the U.S. presidential election for Democratic nominee Joseph R. Biden.,https://www.washingtontimes.com/news/2020/nov/7/world-leaders-react-biden-victory/,https://twt-thumbs.washtimes.com/media/image/2020/11/06/Virus_Outbreak_Britain_54714.jpg-7ece7_c0-266-2705-1843_s1200x700.jpg?2659e35f097de50c5cc181cbe5afb84101c3e8ff,2020-11-07T14:11:47Z,"Congratulatory messages are pouring in Saturday from around the world after major news organizations called the U.S. presidential election for Democratic nominee Joseph R. Biden.
British Prime Minis… [+1392 chars]",the-washington-times,The Washington Times,mod_right,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
Dave Boyer,Donald Trump vows election 'far from over' after Joe Biden projected as president-elect,"President Trump said Saturday the presidential election ""is far from over"" after Democrat Joseph R. Biden was projected as the winner.",https://www.washingtontimes.com/news/2020/nov/7/donald-trump-vows-election-far-over-after-joe-bide/,https://twt-thumbs.washtimes.com/media/image/2020/11/06/Election_2020_Protests_Phoenix_97840.jpg-aeadb_c0-150-3600-2250_s1200x700.jpg?187bc123cc4510feb7f1966081317bdd024739c4,2020-11-07T11:53:30Z,"President Trump said Saturday the presidential election “is far from over” after Democrat Joseph R. Biden was projected as the winner.
“We all know why Joe Biden is rushing to falsely pose as the wi… [+1827 chars]",the-washington-times,The Washington Times,mod_right,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
Dave Boyer,Joe Biden is projected winner of 2020 election,Presumptive President-elect Joseph R. Biden is projected to defeat President Trump in the 2020 election and become the 46th president of the United States.,https://www.washingtontimes.com/news/2020/nov/7/joe-biden-projected-winner-2020-election/,https://twt-thumbs.washtimes.com/media/image/2020/11/07/election_2020_biden_75857_c0-0-3345-1951_s1200x700.jpg?c5ff25709df88faff59a2118b54e0b03df60f174,2020-11-07T11:28:49Z,"Presumptive President-elect Joseph R. Biden is projected to defeat President Trump in the 2020 election and become the 46th president of the United States.
The Associated Press called the race for M… [+3584 chars]",the-washington-times,The Washington Times,mod_right,biden,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.5859}",0.5859,0.352,0.0
Dr. Susan Berry,Planned Parenthood: ‘Let’s Revel’ in Media Election Call for Joe Biden,"Planned Parenthood ""reveled"" in the fact that some media outlets called the presidential race for Joe Biden, though it remains in dispute.",http://www.breitbart.com/politics/2020/11/07/planned-parenthood-lets-revel-in-media-election-call-for-biden/,https://media.breitbart.com/media/2020/09/50356172422_c30248ba1f_o-2-Copy-640x335.jpg,2020-11-08T03:06:02Z,"On Saturday Planned Parenthood and its allies celebrated that some media have called the presidential election for Democrats Joe Biden and Kamala Harris, though the race remains in dispute and the ca… [+5010 chars]",breitbart-news,Breitbart News,right,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
John Nolte,"Nolte: If Elected, Biden Will Wield 'Phone and Pen' with Flurry of EOs",Joe Biden intends to bring back the Obama era phone and pen approach with a flurry of executive orders.,http://www.breitbart.com/politics/2020/11/07/nolte-if-elected-biden-will-wield-phone-and-pen-with-flurry-of-executive-orders/,https://media.breitbart.com/media/2020/11/Joe-Biden-with-Cell-Phone-640x335.jpg,2020-11-08T01:52:03Z,"The far-left Washington Postreports that if Joe Biden wins the presidential election, he intends to bring back the Obama era phone and pen approach with a flurry of executive orders.
“President-elec… [+2972 chars]",breitbart-news,Breitbart News,right,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
Ildefonso Ortiz and Brandon Darby,Mexican President: Imprudent to Congratulate Biden Before Election’s Legal Issues Resolved,Mexico’s President said it is too early to congratulate any of the U.S. presidential candidates as the elections have pending legal issues.,http://www.breitbart.com/border/2020/11/07/mexican-president-imprudent-to-congratulate-biden-before-elections-legal-issues-resolved/,https://media.breitbart.com/media/2020/10/AMLO-640x335.jpg,2020-11-08T01:41:57Z,Mexicos President said it is too early to congratulate any of the U.S. presidential candidates since the elections still have several pending legal issues. In an effort to be respectful to the proces… [+1977 chars],breitbart-news,Breitbart News,right,biden,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.6597}",0.6597,0.444,0.0
Amy Furr,Biden Supporters Scream at Texas Trump Supporters Singing National Anthem,"A group of Joe Biden (D) supporters screamed obscenities at Trump supporters while they sang the National Anthem on Saturday in Austin, Texas.",http://www.breitbart.com/2020-election/2020/11/07/watch-biden-supporters-scream-fck-fascist-usa-at-trump-supporters-singing-national-anthem/,https://media.breitbart.com/media/2020/11/Austin-Biden-Protesters-640x335.png,2020-11-08T00:58:01Z,"A group of Joe Biden (D) supporters screamed obscenities at President Donald Trump supporters as they sang the National Anthem on Saturday in Austin, Texas.
Video footage showed the Biden group stan… [+2171 chars]",breitbart-news,Breitbart News,right,biden,"{'neg': 0.174, 'neu': 0.452, 'pos': 0.374, 'compound': 0.4767}",0.4767,0.374,0.174
John Binder,Left-Wing at War with Never Trumpers Over Who Will Control Joe Biden,"The hard left is at war with ""Never Trump"" Republicans over who would potentially have more sway and influence over Democrat Joe Biden.",http://www.breitbart.com/politics/2020/11/07/left-wing-at-war-with-never-trumpers-over-control-of-joe-biden-dont-take-these-people-seriously/,https://media.breitbart.com/media/2020/11/GettyImages-1228188159-640x335.jpg,2020-11-07T23:25:05Z,"The hard-left of the Democrat Party is at war with “Never Trump” Republicans over who would potentially have more sway and influence over Democrat Joe Biden.
Former Ohio Gov. John Kasich (R), who en… [+2618 chars]",breitbart-news,Breitbart News,right,biden,"{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.5994}",-0.5994,0.0,0.262
